Northings,Eastings,Managed,Selective_cut,Shoots_dug,Clear_cut,Mix_bamboo,Mix_trees,Expansion,Other_bamboo,Forest,Conifer,Broadleaf,MixedForest,VegType,mean_temp,annual_rainfall,elevation,Tree_DBH,Culmheight_m,Basal_areaM2ha,ABG_biomassTha,CulmTha,LitterfallThayr,Dead_materialTha,ABG_C_stock,Cluster,SOC_Tha,SOC_10cm_px,pH,Soil_water_vv,N_px,BG_biomassTha,BGbiomassTCha,NPPtotal_Tha_yr,NPP_ABG_Tha_yr,NPP_BG_Tha_yr
34.9,135.6666667,1,1,1,1,1,1,1,1,1,1,1,1,1,15,1615,230,5.8365,18,98.98,217.2,194.8,6.6425,181.9355,97.4504,1,82.98,4.2255,5.3765,14.7644,0.3055,73.81493762,31.85108722,14.0945,8.89,7.569
34.9,135.6666667,2,2,1,1,1,1,1,1,1,1,1,1,1,15,1615,230,6.165,18.6,89.2,217.2,195.2,6.1475,210.871,97.4504,1,90.235,5.0755,5.3025,12.624,0.4195,60.7080266,35.30058291,12.072,9.1815,4.609
34.9,135.6666667,2,2,1,1,1,1,1,1,1,1,1,1,1,15,1615,230,5.4775,18.5,87.635,219.8,197.4,6.1855,203.8125,98.61693333,1,97.995,6.155,5.368,14.2048,0.3385,70.40234488,31.74637663,12.3955,8.7215,5.6035
34.9,135.6666667,2,2,1,1,1,1,1,1,1,1,1,1,1,15,1615,230,6.2665,17.4,82.606,224.3,201.4,5.817,168.1885,100.6359333,1,89.47,4.2275,5.1385,11.5825,0.283,62.98990403,27.92198538,14.4865,8.376,5.455
33.8,130.55,1,1,1,2,1,1,1,1,1,1,1,1,1,19.09,1556.5,71,6.038,14.2,63.6265,151.1,119.7865,4.3045,92.6365,67.79353333,1,71.595,4.401,5.3685,12.2278,0.349,60.4280266,31.32201225,13.8095,8.695,7.038
33.8,130.55,1,1,1,2,1,1,1,1,1,1,1,1,1,19.09,1556.5,71,5.902,15.9,81.425,138.8,119.4380443,3.9455,119.7525,62.27493333,1,72.965,4.5555,5.422,13.6893,0.31,60.26009274,29.33214222,13.711,9.0605,7.4895
33.8,130.55,1,1,1,2,1,1,1,1,1,1,1,1,1,19.09,1556.5,71,5.87,17,83.96,233.1,170.4651123,4.535,193.1555,104.5842,1,86.305,4.729,5.3335,14.34,0.371,66.71946881,25.48341597,13.096,8.759,7.847
33.8,130.55,1,1,1,1,1,1,1,2,1,1,1,1,1,19.09,1556.5,71,6.154,12,26.756,63.1,48.0485,4.2165,33.39,28.31086667,1,96.355,5.0735,5.4705,19.885,0.334,52.58412258,32.22980125,11.732,6.424,7.7865
33.8,130.55,1,1,1,1,1,1,1,2,1,1,1,1,1,19.09,1556.5,71,5.894,13.2,77.25,210.5,143.0471361,4.0125,137.3045,94.44433333,1,85.85,4.756,5.3715,23.8977,0.2685,71.79015429,39.60620628,11.8625,9.169,7.12
34.9,135.7666667,1,1,1,1,1,1,1,1,1,1,1,1,1,15.3,1459,270,1.97,14.340386,88.3,189.4502229,163.9308855,6.1035,143.277,85,1,103.95,3.34,5.1245,10.9408,0.22,129.8662258,54,16.38,9.3245,7.1385
